title,section,id,source,url,author,theme_keyword,text_type,text,summary,notes
Liberation Upon Hearing: An Explanation of the Phenomena of the Intermediate State,Divisions of Bardo and Specific Practices,T03_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/minling-terchen/liberation-upon-hearing,Minling Terchen Gyurme Dorje,bardo (divisions),ritual guidance,"The term bardo refers to an interim between what comes before and what follows. Thus, there are four: 1) the bardo of birth and death or natural bardo; 2) the bardo of dying; 3) the dharmatā bardo; and 4) the bardo of becoming. The first begins with birth from the mother's womb and continues until succumbing to a fatal condition or injury. The second begins with the approach of death and continues until breathing ceases. The third begins with the cessation of inner respiration and continues until the dissolution of the visions of spontaneous presence. The fourth begins with the dissolution of the visions of spontaneous presence and continues until the occurrence of a subsequent birth.","The text provides clear definitions of all four bardos and specifies the exact boundaries of each, from birth through dying, dharmatā, and becoming, up to the next rebirth.","Provides the clearest definitional language for all four bardos in the corpus—essential for understanding how each term is used across texts. Key vocabulary: 'bardo,' 'dying,' 'dharmatā,' 'spontaneous presence,' 'subsequent birth.' Translator: Adam Pearcey, 2019."
Liberation Upon Hearing: An Explanation of the Phenomena of the Intermediate State,Bardo of Dying and Elemental Dissolution,T03_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/minling-terchen/liberation-upon-hearing,Minling Terchen Gyurme Dorje,dissolution,ritual guidance,"At the time of transferring from life at death, the body's water, fire and wind elements are disturbed and it can no longer support heat or consciousness. This marks the severing of one's vital force. The aggregates, elements and sense-sources, together with their objects, all gradually fade. When earth dissolves into water the body's strength deteriorates. As water dissolves into fire, the mouth and nostrils dry up. As fire dissolves into wind, the body loses heat beginning from the extremities. As wind dissolves into consciousness, the flow of coarse breathing is cut. As consciousness dissolves into space, all the coming and goings of energy-mind cease.","The bardo of dying is described through the sequential dissolution of the four elements and then consciousness into space, with each stage marked by specific physiological and experiential signs.","The most detailed dissolution sequence in the corpus. Key vocabulary: 'dissolves,' 'elements,' 'consciousness,' 'space,' 'aggregates,' 'sense-sources,' 'vital force.' Critical for the research question on how dying is described. Translator: Adam Pearcey, 2019."
Liberation Upon Hearing: An Explanation of the Phenomena of the Intermediate State,Bardo of Dharmatā and Sambhogakāya Visions,T03_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/minling-terchen/liberation-upon-hearing,Minling Terchen Gyurme Dorje,bardo of dharmatā,ritual guidance,"This is the time when luminosity dissolves into union. Out of that comes the increase of experience and out of that, appearance. Then, in an instant, from this threefold experience and its accompanying wind-energy, through the proximate cause of the appearance of clear light there arises an extremely subtle form, clear and unobstructed, like a reflection in a mirror or rainbow light in the sky. This is the dawning of saṃbhogakāya. On the first day, the maṇḍala of Vairocana arises out of blue light, which is like a cloudless autumn sky. Similarly, on the following four days, the other sets of maṇḍala gathering arise on a boundless scale.","As the dharmatā bardo begins, the sambhogakāya arises from clear light as an extremely subtle form; over five days, the mandalas of the five buddha families appear in sequences of colored light.","Critical for research: describes how appearances in dharmatā arise from consciousness/clear light and how the five families' mandala unfolds. Key vocabulary: 'luminosity,' 'union,' 'sambhogakāya,' 'clear light,' 'appearances,' 'five families.' Translator: Adam Pearcey, 2019."
Liberation Upon Hearing: An Explanation of the Phenomena of the Intermediate State,Bardo of Becoming and Guidance for Rebirth,T03_S05,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/minling-terchen/liberation-upon-hearing,Minling Terchen Gyurme Dorje,bardo of becoming,ritual guidance,"For beginners the earlier visions of luminous dharmatā fade away unrecognised. Then, in the next moment, habitual tendencies for the following stage are triggered by various activating conditions. Wind-energy, mind and the four subtle elements serve as causes and conditions through which the subtle and unobstructed bardo form is created. The duration of this bardo is seven days, where one day is equivalent to a human day. Then, if one has still not found the support of another body, one dies again and lives for another seven days. This process of repeated birth and death every seven days continues for a maximum of forty-nine days in total.","When dharmatā visions go unrecognized, the becoming bardo arises; a subtle mental body forms through habitual tendencies and karma, and the being experiences repeated birth-and-death cycles within forty-nine days.","Describes the becoming bardo's mechanics: habitual tendencies, mental body, forty-nine days, repeated dying. Key vocabulary: 'bardo of becoming,' 'habitual tendencies,' 'mental body,' 'rebirth,' 'karma,' 'consciousness.' Central to research on becoming/rebirth. Translator: Adam Pearcey, 2019."
A Brief Introduction to the Bardos,Twenty Phases of Coarse Dissolution,T04_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/bardo-introduction,Patrul Rinpoche,dissolution,advice,"Generally, whenever physically embodied beings die, they first experience the twenty phases of coarse dissolution, which are as follows: As the aggregate of form dissolves, the limbs twitch, and the body loses its strength and power. As the mirror-like wisdom dissolves, the mind grows unclear and hazy. As the earth element dissolves, the body grows dry. As the eye faculty dissolves, sight becomes unclear and the eye takes on a rounder shape. As the water element dissolves, the lips, sweat, urine, semen and ovum all dry up. As the fire element dissolves, proper digestion of food is no longer possible.","Patrul Rinpoche enumerates twenty coarse stages of dissolution at death, covering the dissolution of aggregates, elements, sense faculties, and their objects in a systematic sequence.","The most exhaustive dissolution checklist in the corpus—vital for word frequency of dissolution-related verbs and bodily processes. Key vocabulary: 'dissolves,' 'aggregate,' 'element,' 'faculty,' 'wisdom.' Translator: Adam Pearcey, 2010."
A Brief Introduction to the Bardos,Subtle Inner Dissolution of the Four Elements,T04_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/bardo-introduction,Patrul Rinpoche,dissolution,advice,"Following the twenty coarse forms of dissolution, which unfold in this way, comes the process of subtle inner dissolution: As earth dissolves into water, the person is unable to move the body and can no longer maintain its strength. It feels as if the body is sinking into the ground. As an inner sign, there is a shimmering expanse of blue, and the impression of softly drizzling rain and flowing water. As water dissolves into fire, the mouth and nostrils dry up, and the tongue becomes lodged against the palate. As an inner sign, there is an appearance of a smoky haze swirling on a plain.","Following the coarse dissolution, Patrul Rinpoche describes the subtle inner elemental dissolution with accompanying outer signs (body symptoms) and inner signs (visionary experiences like smoke, mirages, sparks, and a burning lamp).","Describes both outer and inner signs of elemental dissolution—important for co-occurrence of 'signs,' 'elements,' 'inner,' 'consciousness,' 'appearances.' The sign language parallels the root verses. Translator: Adam Pearcey, 2010."
A Brief Introduction to the Bardos,Four Visions: Appearance Increase Attainment and Ground Luminosity,T04_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/bardo-introduction,Patrul Rinpoche,clear light,advice,"Then, as space dissolves into luminosity, four visions gradually unfold: The white essence obtained from the father descends from the crown, and when it reaches the heart there is what is called 'appearance'. As an outer sign, this is accompanied by an experience of whiteness, as when moonlight fills a completely clear sky. As an inner sign, there is a clear experience of the self-clarity of consciousness devoid of any coarse thought states. When the subtle red element of the mother ascends from the base of the central channel, the wisdom of appearance fades into 'increase'. The wisdom of increase dissolves into 'attainment'. The ground luminosity of the moment of death arises. As an outer sign, there is an experience of emptiness and clarity without centre or periphery, like a cloudless sky.","The four visions of appearance, increase, attainment, and ground luminosity unfold as the white and red elements meet at the heart; ground luminosity is the opportunity for liberation through recognition.","Central to the research: describes the three experiences plus luminosity, white/red essences, emptiness, and the recognition opportunity. Key vocabulary: 'luminosity,' 'appearance,' 'increase,' 'attainment,' 'consciousness,' 'liberation,' 'recognition.' Translator: Adam Pearcey, 2010."
A Brief Introduction to the Bardos,Bardo of Becoming and Its Features,T04_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/bardo-introduction,Patrul Rinpoche,bardo of becoming,advice,"Next, out of the luminosity into which the three visions dissolved, appearances unfold gradually once again, and the body of the bardo of becoming is formed. For the first half of this bardo, however long that might be, you have the form of your preceding life, and for the second half you take on the appearance of your eventual rebirth. All sensory faculties are intact, and you can travel anywhere but the mother's womb, miraculously and without obstruction. You are invisible to all except those of the same class (i.e. other bardo beings) and those who have obtained divine vision.","After the luminosity phase, a subtle becoming-bardo body forms from the dissolving three visions, retaining the previous life's form at first and then shifting to the next rebirth form, with miraculous powers but no shadow.","Describes the becoming bardo body's properties—key for co-occurrence of 'bardo,' 'becoming,' 'rebirth,' 'consciousness,' 'appearances.' Also lists the four fear-inducing sounds as signs of the three lower-realm abysses. Translator: Adam Pearcey, 2010."
A Brief Introduction to the Bardos,Practical Guidance at the Moment of Death,T04_S05,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/patrul-rinpoche/bardo-introduction,Patrul Rinpoche,ritual guidance,advice,"At first, when you are certain that you are going to die, you must cut all ties and attachment to this life. Confess from the depths of your heart any downfalls and breakages of samaya, harmful actions and so on. Devote not even so much as a single moment to feeling guilty about your own negative actions, fearing death, or being attached to this life. Instead, feel happiness and joy, and say to yourself: 'Now I shall recognize the clear light at death. Or, if that is not possible, since I shall certainly use the bardo as an opportunity to travel to a pure realm such as Akaniṣṭha, Zangdokpalri or Sukhāvatī, I shall be joyful.' Maintain, without ever letting it slip away, the strong intention and thought 'I shall travel to the pure realms!'","Patrul Rinpoche gives practical guidance for the moment of dying: release attachment, confess, cultivate joy, and strongly aspire to recognize clear light or travel to a pure realm.","Practical instruction for dying practitioners—key vocabulary: 'clear light,' 'bardo,' 'pure realm,' 'liberation,' 'attachment,' 'recognition,' 'aspiration.' Useful for studying the vocabulary of ritual guidance at the moment of death. Translator: Adam Pearcey, 2010."
The Flight of the Garuda: An Aspiration for the Four Bardos,Opening Invocation and Renunciation Aspiration,T05_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/second-shechen-rabjam/flight-of-garuda-bardo-aspiration,Second Shechen Rabjam,aspiration prayer,aspiration prayer,"Guide Amitābha, Lord Avalokiteśvara, Vajrasattva, / The Five Families, the Hundred Families, Lord Padmasambhava, / The Three Roots, peaceful and wrathful deities, and Three Supreme Jewels— / From my heart I pray to you: please grant your blessings! / With a mind that is swift to recall impermanence and death, / May I see saṃsāra's pleasures and wealth as dances of lightning, / Or as insubstantial as a rainbow in the sky. / Bless me that such urgency may arise in my mind.","The prayer opens with invocations to Amitābha, Avalokiteśvara, the five buddha families, and Padmasambhava, then aspires for vivid recognition of impermanence and the insubstantiality of samsaric existence.","Establishes the full array of refuge objects for bardo aspiration. Co-occurrence vocabulary: 'Amitābha,' 'peaceful and wrathful deities,' 'impermanence,' 'death,' 'saṃsāra,' 'liberation.' Composed 1758. Translator: Sean Price, 2026."
The Flight of the Garuda: An Aspiration for the Four Bardos,Coarse Elemental Dissolution at Death,T05_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/second-shechen-rabjam/flight-of-garuda-bardo-aspiration,Second Shechen Rabjam,dissolution,aspiration prayer,"When the aggregates, four wisdoms, four elements, / Four faculties, and four objects—these twenty coarse factors— / Dissolve, and the sensory consciousnesses withdraw inward, / May my mind remain unwavering and confident. / As earth dissolves into water, the body's vitality diminishes, / Leaving one unable to move and feeling as if falling into a pit. / And smoke-like mist or haziness appears. / May I recognise the earth-wind dissolving into the central channel.","At the onset of dying, twenty coarse factors dissolve in sequence; the prayer aspires that the practitioner remain unwavering and recognize each dissolution of the four elements as they dissolve into the central channel.","Aspiration prayer framing of the dissolution process—useful for comparing the vocabulary of dissolution across instruction genres. Key terms: 'dissolves,' 'elements,' 'central channel,' 'consciousness,' 'recognition.' Translator: Sean Price, 2026."
The Flight of the Garuda: An Aspiration for the Four Bardos,Subtle Dissolution: Three Experiences and Ground Luminosity,T05_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/second-shechen-rabjam/flight-of-garuda-bardo-aspiration,Second Shechen Rabjam,clear light,aspiration prayer,"From the haṃ at the crown, the white element dissolves / Into the drop at the centre of the heart. The outer sign is whiteness, / And the inner sign is clearer than before, arising without fixation. / The red short a from the navel ascends / And dissolves into the drop at the heart. The outer sign is redness, / While the inner sign is an extremely subtle clarity, the inseparability of wind and mind. / That very nature, primordially pure, is empty in essence; / Its natural expression is luminous bliss without reference point. / May the dharmakāya luminosity of the moment of death become manifest.","The prayer describes the white and red essences descending and ascending to the heart, the three wisdoms of appearance/increase/attainment, and the arising of dharmakāya luminosity at death.","Rich vocabulary for the subtle dissolution: 'white element,' 'red element,' 'heart,' 'luminosity,' 'dharmakāya,' 'emptiness,' 'primordial purity.' Aspiration form provides prayer-genre parallel to instruction texts. Translator: Sean Price, 2026."
The Flight of the Garuda: An Aspiration for the Four Bardos,Bardo of Dharmatā: Visions and Recognition,T05_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/second-shechen-rabjam/flight-of-garuda-bardo-aspiration,Second Shechen Rabjam,bardo of dharmatā,aspiration prayer,"Then, in the bardo of dharmatā, / When space dissolves into luminosity, / There are the four manifestations: the appearances of the primordial ground, / The union of spheric clusters, the union of four wisdoms, and great spontaneous presence. / First, when the appearances of the primordial ground arise, / Five-coloured rainbow light rays from the wisdom spheres / Of the five lights in the sky before me connect with my eyes. / May I recognising this as the cord of continual compassion, / The direct and secret path of Vajrasattva, / And by focusing awareness undistractedly and single-pointedly upon it, / May mother and child dharmatās merge instantaneously.","The dharmatā bardo brings forth the four manifestations—ground appearances, spheric clusters, four wisdoms, and spontaneous presence—as five-colored light; the prayer aspires for recognition as one's own nature.","Most detailed description of dharmatā visions in prayer form: 'five-coloured light,' 'dharmatā,' 'recognition,' 'mother and child,' 'awareness,' 'liberation.' Important for both co-occurrence analysis and genre comparison. Translator: Sean Price, 2026."
The Flight of the Garuda: An Aspiration for the Four Bardos,Bardo of Becoming and Liberation Aspiration,T05_S05,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/second-shechen-rabjam/flight-of-garuda-bardo-aspiration,Second Shechen Rabjam,bardo of becoming,aspiration prayer,"If not liberated into the sambhogakāya during the dharmatā bardo, / Even though the bardo of becoming appears like a dream, / Through the power of familiarity with the supreme guru, / Profound instructions, and direct experience of luminous dharmatā, / May I recall the pure realms and at that very moment, / Be born in the Abhirati realm, and behold the face of Akṣobhya; / In Śrīmat, receive empowerment from Ratnasambhava; / In Padmakūṭa, receive prophecy from Amitābha.","If the dharmatā bardo passes unrecognized, the prayer aspires that in the dream-like becoming bardo the practitioner will recall a pure realm—specifically one of the five buddha-family pure lands—and be reborn there for liberation.","Covers the failure cascade from dharmatā to becoming bardo and the aspiration for pure land rebirth. Key vocabulary: 'bardo of becoming,' 'sambhogakāya,' 'pure realms,' 'liberation,' 'rebirth,' 'dharmatā.' Translator: Sean Price, 2026."
How Liberation and Delusion Develop Out of the Clear Light of the Ground,The Youthful Vase Body and Ground Clear Light,T06_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/yukhok-chatralwa/how-liberation-and-delusion-develop,Yukhok Chatralwa Chöying Rangdrol,clear light,Dzogchen instruction,"In the tradition of the Clear Light Great Perfection, it is said that the subtle wisdom we call the 'youthful vase body'—an inner clarity that is immanent and unobscured—is present in the mindstreams of all living beings. This youthful vase body is the wisdom of uncompounded clear light, which is 'youthful' in the sense that it is beyond birth and death, ageing and decay. It is a 'vase body' in that the seal of spontaneous presence remains unbroken. It is an inner clarity, which does not obstruct the kāyas and wisdoms. Obscuration by the three kinds of habitual tendency is likened to a vase. And subtle wisdom itself, which has the identity of the three kāyas, is likened to a lamp within this vase.","The text introduces the 'youthful vase body' as the uncompounded clear light wisdom present in all beings, obscured by habitual tendencies like a lamp inside a vase, and identifies it with the three kāyas.","Key Dzogchen technical vocabulary: 'youthful vase body,' 'clear light,' 'habitual tendency,' 'three kāyas,' 'spontaneous presence.' Foundational concept for understanding what is recognized (or not) at the moment of death. Translator: Adam Pearcey, 2016."
How Liberation and Delusion Develop Out of the Clear Light of the Ground,Liberation in the Bardo of Dying and Dharmatā,T06_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/yukhok-chatralwa/how-liberation-and-delusion-develop,Yukhok Chatralwa Chöying Rangdrol,liberation,Dzogchen instruction,"Following the conclusion of all the stages of dissolution, during the dharmakāya intermediate stage of dying, you remain in the clear light of the ground for five 'meditation days'. When rising from this state, if you recognise the clear light of the ground as your own projection, then, in the first instant, you recognise the natural state of the original, primordial ground of alpha-purity; in the second instant, the recogniser dissolves into absolute space; and in the third instant, by seizing the stronghold within absolute space, you are liberated at death into dharmakāya reality. If you are not liberated in that intermediate state, however, then during the intermediate state of dharmatā, the seal of the youthful vase body breaks, causing the secret gateways of spontaneous presence to open and five-coloured lights to emerge.","After dissolution, the clear light of the ground arises for five meditation days; recognizing it in three instants leads to dharmakāya liberation, while failure triggers the dharmatā bardo with five-colored lights.","Describes the three-instant recognition process and the critical moment of choosing liberation over delusion. Co-occurrence vocabulary: 'clear light,' 'ground,' 'recognition,' 'dissolution,' 'dharmakāya,' 'liberation,' 'dharmatā,' 'five-coloured lights.' Translator: Adam Pearcey, 2016."
How Liberation and Delusion Develop Out of the Clear Light of the Ground,Delusion and the Arising of Saṃsāra,T06_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/yukhok-chatralwa/how-liberation-and-delusion-develop,Yukhok Chatralwa Chöying Rangdrol,rebirth,Dzogchen instruction,"If the process unfolds in an impure way: / Dharmatā becomes the basis for the delusion of perceived objects; the five-coloured lights become the basis for the delusion of the environment and inhabitants; and awareness becomes the basis for the delusion of ordinary mind. The five-coloured lights appear as the five elements; spheres appear as ordinary dwelling places; the vajra chains appear as your own body; the eight collections of consciousness appear out of the omniscience of compassionate presence as the ordinary mind, the basis of delusion, by means of the three causes and four conditions; and the various languages of the six classes of beings emerge out of the spontaneous sound of dharmatā. And with this, we experience delusion within the endless cycle of saṃsāra.","If the dharmatā process unfolds impurely, awareness becomes ordinary mind, five-colored lights become the five elements, and the sound of dharmatā becomes language—generating the entire delusive world of the six realms.","Describes exactly how the transition from liberation-possibility to samsaric rebirth occurs through non-recognition. Key vocabulary: 'delusion,' 'dharmatā,' 'awareness,' 'consciousness,' 'elements,' 'saṃsāra,' 'rebirth.' Critical for the research question. Translator: Adam Pearcey, 2016."
